job_id,title,company,location,date_posted,link
ea23eda512845c4a,Cloud Data Platform Expert - Azure/Databricks,ELCA Informatique SA,"Remote in Bern, BE",,https://ch.indeed.com/rc/clk?jk=ea23eda512845c4a&bb=aA6NNEM31wuF-aC3UcAKW7_hrFzAPfRV-9aIjqralm2nWH29N2dYl_Pwr0GAFrKv0fzGVIFD-osrSI16lVeBTYAH-fphbbS7ipqUtm0Bk4vu_G3kTPebtGoKG-GZ3oozysZs0OUDy-4farRiB0RMCQ%3D%3D&xkcb=SoCj67M3t_-rfez4Fh0NbzkdCdPP&fccid=4166c1cedc279c9f&vjs=3
96c8abc1656ae1fd,Senior Test Engineer (a),AdNovum,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=96c8abc1656ae1fd&bb=aA6NNEM31wuF-aC3UcAKW8-nYHOH_2diZLfXtariwDzbt3X7y-eZZExMTZAwtmNCQVqGJ09TJ0d6kMqez_nGWF9NwjwG5SsXR7MtdAydTNZE-wxBLjWRPNLvsbkqpyWRFKq-hqi3vdyzuNeSBvwVYA%3D%3D&xkcb=SoAX67M3t_-rfez4Fh0MbzkdCdPP&fccid=f41405d7054e617a&vjs=3
d8d0af83235f407b,SENIOR BUSINESS ANALYST - INSURANCE (GERMAN SPEAKING),Skillfinder International,"Hybrid work in Bern, BE",,https://ch.indeed.com/rc/clk?jk=d8d0af83235f407b&bb=aA6NNEM31wuF-aC3UcAKW2dRBUmnxoiT3m5wyXQGkTrXwDIrbz6yxtXCVf2Hi8_jV2TL0jmwyF_GPb4fAEIUrQgH_6iozeIifVVtXDaSHQJXLzYrhssBtJhlttAaXGX7YSbF9uGYUqQR6B2Wbi0PmA%3D%3D&xkcb=SoD-67M3t_-rfez4Fh0DbzkdCdPP&fccid=7e5bbed20fe1fe6b&vjs=3
00d96fc6d7c22118,Senior Data Analyst mit Schwerpunkt Data-Warehouse und Business Intelligence,Callista ACE AG,"Hybrid work in 3001 Bern, BE",,https://ch.indeed.com/rc/clk?jk=00d96fc6d7c22118&bb=aA6NNEM31wuF-aC3UcAKWwfvKWhEXjOGteM98MegEJdQphSY48V_HXVnIgc16IsuekAJexDnNdxJl10V6FwN9wV1F8BznlTHsjjztATWCGG1ztNqnHPoBmsK-91SBul7ZeozIO_d3B4C7OneOoXFMw%3D%3D&xkcb=SoBK67M3t_-rfez4Fh0CbzkdCdPP&fccid=565c0f34c6c1679a&vjs=3
62e2142862265c1c,Application Developer,Itech Consult,"Remote in Bern, BE",,https://ch.indeed.com/rc/clk?jk=62e2142862265c1c&bb=aA6NNEM31wuF-aC3UcAKW_xFRfUmTMnfAdIuLNWcgeep3lKig3DCwKaNsm__Sj8JDGnPTNQvVV--VjG9l54YyzeSLTDXDw7yKMXCgSCUZOfWym0n-itZmq677XegtaXpf2g_nGeSiqmZ86nJdkipNQ%3D%3D&xkcb=SoDX67M3t_-rfez4Fh0BbzkdCdPP&fccid=d3262d6a33468740&cmp=Itech-Consult&ti=Application+Developer&vjs=3
25af46b913fd52fc,Business Analyst – Dashboard Design / PL/SQL / XML,Itech Consult,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=25af46b913fd52fc&bb=aA6NNEM31wuF-aC3UcAKW-4MtQ5LwYRDol2NilS_1nqUYjVPu06EgJ62kIqth5g6RiTeSVo7XC4tQ7Wcn3x9W2LwK7b2C7Bwhd3J62WRFYugRgBLH9vNgsFnaxdb1FIdsIBXKOn5hET8_NTW1VhJrQ%3D%3D&xkcb=SoBj67M3t_-rfez4Fh0AbzkdCdPP&fccid=d3262d6a33468740&cmp=Itech-Consult&ti=Business+Analyst&vjs=3
067e3e34e3e591de,Business-Analyst:in,Itech Consult AG,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=067e3e34e3e591de&bb=aA6NNEM31wuF-aC3UcAKWxbkS5e9CBRQoj24LrtvMQrdLA7-d3tmO3D-kbTzNts44D0ZnnF7DoMXEj0cWDLpCPDwrswEwDTEUDNgAeMuyAHiklfnjFu6zksNn6AWKu3Wmz5zNYocyVcHIlgUEX5kIQ%3D%3D&xkcb=SoDt67M3t_-rfez4Fh0HbzkdCdPP&fccid=d3262d6a33468740&cmp=Itech-Consult&ti=Business-analyst%3Ain&vjs=3
2bdca02e85d48abf,Senior Business Analyst 100% (m/f/d) – Insurance / SAFe,Itech Consult AG,"Bern, BE",,https://ch.indeed.com/rc/clk?jk=2bdca02e85d48abf&bb=aA6NNEM31wuF-aC3UcAKWy1GCRBzA_NzED1kn8CHsBLcMuauyP4GNOxyibi3Ko1k1YmbjtdR8KpEqX7DQVlkulkTQpOzjCkVR4BDqmWGbfRf2HgYsQKzmxBzrj-l-XcYkx4nHEITZYEEHj9kTbdTzQ%3D%3D&xkcb=SoBZ67M3t_-rfez4Fh0GbzkdCdPP&fccid=d3262d6a33468740&cmp=Itech-Consult&ti=Senior+Business+Analyst&vjs=3
8c7073918e975a47,Junior Business Analyst – Basel,Optravis LLC,"4051 Basel, BS",,https://ch.indeed.com/rc/clk?jk=8c7073918e975a47&bb=IIT-424uWMjZgUBy4ZYxGZZpvg9bOAIj9VomaMu8SQOi8q62zywzLxnfnxpOuXEbMk71KZhmXpMstjhShHzJKLFLdYRlSBrupJ_17F58Frx2xALs5iI57oLAcSAOD3U_8gaZJtDt5SqwW0KL_X98qw%3D%3D&xkcb=SoC767M3t_-qd1T4Fh0LbzkdCdPP&fccid=a85dfbeec6778e4e&vjs=3
7813df59ff0935ee,Innovate with AI: Data Analyst Internship for Computer Science Students,Roche,"Kaiseraugst, AG",,https://ch.indeed.com/rc/clk?jk=7813df59ff0935ee&bb=IIT-424uWMjZgUBy4ZYxGc4sVP1negmeHZcCGmR9dsM9hc-_EAAUEN6jQI2uAXijChztxgt5gmxqwFNzyl3eV-dW4wwc0m2rO9WgW9iKrr8MxVAWFPdBGDWPupBZgHKUWTK-0tc_ABU%3D&xkcb=SoAP67M3t_-qd1T4Fh0KbzkdCdPP&fccid=bca1c8ed48c3b338&vjs=3
ba821aba835d4d78,Safety Science Data Analyst,Sobi,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=ba821aba835d4d78&bb=IIT-424uWMjZgUBy4ZYxGY2Z2BFmJZmcaGFa-6XZC_9zT-sNlkeCTca86wytml6iulcDn2aNB98XpyBgGp-ksqp7jk7sI_UmgMa816R4pus0dLaM0Ggpho-R_f4wcABGPA8FJB_XU45CCnfTag6e1g%3D%3D&xkcb=SoCS67M3t_-qd1T4Fh0JbzkdCdPP&fccid=03d2f1e8e4f14cab&vjs=3
979bb94a23233edc,Data & Business Performance Analyst (m/w/d),Sympany,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=979bb94a23233edc&bb=IIT-424uWMjZgUBy4ZYxGZisaxa1Tpti3Z7GC1_fJeJ8qzTdI78XlAGmtudXFOSDf7MmXhxXKEOnyKWIY_lUkNDWJxr5gW3veKt1FgZzakWcWNyLvrb9lCFgLMBSfD-H-Fwby6v9bq6VV99sWJMabw%3D%3D&xkcb=SoAm67M3t_-qd1T4Fh0IbzkdCdPP&fccid=833807a92b4a5237&vjs=3
cb88cf72c57f539f,Data Engineer (100%),MDPI Switzerland,"4052 Basel, BS",,https://ch.indeed.com/rc/clk?jk=cb88cf72c57f539f&bb=IIT-424uWMjZgUBy4ZYxGX7iwrYcEB8D7vz4ISbGcfZ4kGQPnC0sNu4lL6qWu7GsajJUYEWMGGGAfAAZzQfe9lH-VotnIj8yhLlJrMV7MMhz8iFG2GmHLDnqIh55XORQNhot893Xgsnnt92BvokXLg%3D%3D&xkcb=SoCo67M3t_-qd1T4Fh0PbzkdCdPP&fccid=cbb418f324e96f66&vjs=3
c685c11c1e4dd2b7,Senior Data Product Owner,Roche,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=c685c11c1e4dd2b7&bb=IIT-424uWMjZgUBy4ZYxGd4C9ZQILz4pCd1Gd8hWOtDHKmQ_z9COrgZtX9PvMUgVclpUaum1DkMWtRQR13hSOtJ98K4YETdIme-eY5gEvyOrIIaIpinoa8il6HsqCalw3pe_zCTEEgA%3D&xkcb=SoAc67M3t_-qd1T4Fh0ObzkdCdPP&fccid=bca1c8ed48c3b338&vjs=3
a33a174f055bc89e,Global Capex Cost Analyst - F/M/X,Amaris Consulting,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=a33a174f055bc89e&bb=IIT-424uWMjZgUBy4ZYxGSI-DtrwYyFbIvlMGgivXhJ0z_tWmVBTTdy1p84LZ0uqq3Zg4ksJSCdCvefExNXD4mZ_bnjz-Em4rWR_p3ifSyqNbjtpWi6Q26_op9yx0PbwSfhnEUrppKqfGB0t1aan9w%3D%3D&xkcb=SoCB67M3t_-qd1T4Fh0NbzkdCdPP&fccid=3e126e6958cff93e&vjs=3
5260c817a0319e50,Business Analyst - Veeva R&D,Idorsia Pharmaceuticals Ltd.,"Basel, BL",,https://ch.indeed.com/rc/clk?jk=5260c817a0319e50&bb=IIT-424uWMjZgUBy4ZYxGW5P78OwYY9RqxAv91tutZjOjVrL6N5CJ6jXSCnCIwLqQv0HpbQI59iwUMyTwKxcMwludsBdWBPY1EUnjSH1TC6wJqS7k8CWvZa35o0YeD1e0dffYQZyIYeqNojVTjXY7Q%3D%3D&xkcb=SoA167M3t_-qd1T4Fh0MbzkdCdPP&fccid=91458638c90670f9&vjs=3
ac6c4eae6ed94db1,Air Trade & Pricing Analyst,JAS Worldwide,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=ac6c4eae6ed94db1&bb=IIT-424uWMjZgUBy4ZYxGRAfBxT35_ZhYrm2ADk12ww2fvN4Lk-y-vw4vrpb5_GheIg4-A-oOAjuX7ys0dLd3HPSALu2a5fumYROV7MeM5ICJH7hN-LRqJr_PArTXbBImktnOLoudn4%3D&xkcb=SoDc67M3t_-qd1T4Fh0DbzkdCdPP&fccid=531dc07306aebe40&vjs=3
c0c6a8122bd88b22,Investor Relations Associate (m/f/d),Lonza,"Basel, BS",,https://ch.indeed.com/rc/clk?jk=c0c6a8122bd88b22&bb=IIT-424uWMjZgUBy4ZYxGRAfBxT35_ZhPefJ3Z5Ef3csf6wcIOHvnyPe6M2rUiYsyZ-D2ObCg6KOj0nHb2tIgLEFDSJKfY85uzqVkeWxGzoaKsIFj1y9OGwsCb3pfAwM1gSt8Bt8HVE%3D&xkcb=SoBo67M3t_-qd1T4Fh0CbzkdCdPP&fccid=f03d9769ea7202c9&vjs=3
